cores, wall_time ,pi, darts, rounds
1,0.00276148,3.14376,1000,100
2,0.00142855,3.14344,1000,100
4,0.000809804,3.13632,1000,100
8,0.000518852,3.12663,1000,100
16,0.000417189,3.12685,1000,100
32,0.000367044,3.10236,1000,100
64,0.00111323,3.08886,1000,100
1,2.73034,3.14174,1000000,100
2,1.36615,3.14205,1000000,100
4,0.866184,3.14246,1000000,100
8,0.437515,3.14214,1000000,100
16,0.273487,3.14218,1000000,100
32,0.190529,3.14279,1000000,100
64,1.01423,3.14287,1000000,100
32,192.022,3.14155,1000000000,100
16,274.275,3.14155,1000000000,100
8,435.206,3.14157,1000000000,100
1,3600,3.14157,1000000000,100
